configuration_id,layer,head,mean_entropy,entropy_p10,entropy_p90,mean_max_weight,mean_self_weight,mean_prev_weight,mean_top1_minus_top2,head_pair_cosine,case_variance_entropy,case_variance_max_weight,low_margin_entropy,high_margin_entropy,low_margin_max_weight,high_margin_max_weight,dist_0,dist_1,dist_2,dist_3,dist_4,dist_5,dist_6,dist_7
L18_SEED_2_CONTROL,4,0,2.04576,1.98492,2.07708,0.166035,0.124735,0.14415,0.00847242,0.888978,0.00128357,0.000748903,2.02796,2.05349,0.175375,0.158514,0.124735,0.14415,0.111092,0.116417,0.133437,0.124644,0.117242,0.128282
L18_SEED_2_CONTROL,4,1,1.86692,1.58859,2.06479,0.230347,0.165429,0.11161,0.026595,0.888978,0.0306091,0.00479993,1.82325,1.86834,0.247182,0.225302,0.165429,0.11161,0.122841,0.12203,0.132409,0.108065,0.131191,0.106426
L18_SEED_2_CONTROL,6,0,1.88143,1.67546,2.07136,0.243137,0.147659,0.161441,0.0313265,0.698586,0.0256946,0.00693004,1.86642,1.89952,0.242748,0.232109,0.147659,0.161441,0.0943231,0.103488,0.151654,0.119726,0.108497,0.113211
L18_SEED_2_CONTROL,6,1,1.80375,1.51907,2.00374,0.274368,0.0787152,0.127354,0.0529081,0.698586,0.0324714,0.00970319,1.77301,1.78853,0.310691,0.252312,0.0787152,0.127354,0.147252,0.14123,0.0890513,0.150365,0.120031,0.146001
L18_SEED_2_CONTROL,8,0,1.85673,1.62943,2.04239,0.2624,0.0886962,0.140438,0.0505822,0.865779,0.0300677,0.00817301,1.75231,1.92229,0.31587,0.21998,0.0886962,0.140438,0.139578,0.105709,0.115257,0.134208,0.113813,0.1623
L18_SEED_2_CONTROL,8,1,2.05277,1.98965,2.07879,0.15918,0.115583,0.13236,0.00803963,0.865779,0.00138543,0.00113272,2.0408,2.06055,0.168867,0.151575,0.115583,0.13236,0.13021,0.114668,0.12743,0.12353,0.126467,0.129753
L18_SEED_2_CONTROL,10,0,2.04743,1.99896,2.07904,0.167149,0.126977,0.129021,0.0099455,0.791967,0.00146872,0.000963139,2.01681,2.06478,0.193091,0.15035,0.126977,0.129021,0.128052,0.110514,0.137331,0.121837,0.11894,0.127329
L18_SEED_2_CONTROL,10,1,1.86461,1.56682,2.07605,0.242359,0.064692,0.175115,0.0372145,0.791967,0.0318733,0.00740632,1.86675,1.88088,0.259515,0.219715,0.064692,0.175115,0.110144,0.141981,0.0973306,0.156541,0.118425,0.135771
L18_SEED_2_CONTROL,11,0,1.99211,1.76662,2.07671,0.18925,0.112728,0.122983,0.0194513,0.79411,0.0108726,0.00183715,2.01354,1.94218,0.19869,0.191388,0.112728,0.122983,0.121859,0.134061,0.112641,0.131897,0.126136,0.137695
L18_SEED_2_CONTROL,11,1,1.40696,0.698203,2.047,0.414617,0.0598448,0.15691,0.180243,0.79411,0.288254,0.0487858,1.32855,1.44985,0.494626,0.345586,0.0598448,0.15691,0.134262,0.123597,0.0763055,0.160884,0.12632,0.161878
L18_SEED_2_CONTROL,12,0,2.06075,2.02787,2.0787,0.157711,0.12653,0.131422,0.00823704,0.938603,0.000288559,0.000373605,2.06095,2.06073,0.159222,0.154827,0.12653,0.131422,0.115034,0.130081,0.120035,0.127743,0.124511,0.124643
L18_SEED_2_CONTROL,12,1,1.99195,1.86136,2.06337,0.194435,0.106506,0.156432,0.0161526,0.938603,0.00537397,0.00105457,2.01061,1.96652,0.194072,0.195729,0.106506,0.156432,0.119998,0.115579,0.124522,0.135127,0.118424,0.123412
L18_SEED_2_CONTROL,13,0,2.0133,1.903,2.07127,0.180901,0.135519,0.120695,0.00847924,0.83296,0.00297487,0.000860257,2.01715,2.00649,0.188521,0.179014,0.135519,0.120695,0.126932,0.121802,0.130638,0.125084,0.121917,0.117413
L18_SEED_2_CONTROL,13,1,1.96146,1.77762,2.06726,0.21687,0.0840004,0.133636,0.0243313,0.83296,0.0123052,0.00375069,1.88942,2.00356,0.254339,0.192909,0.0840004,0.133636,0.14463,0.134151,0.0969215,0.160167,0.117466,0.129028
L18_SEED_2_CONTROL,14,0,1.60949,1.14105,1.94349,0.322235,0.0308431,0.17371,0.0457937,0.75298,0.0861913,0.00891859,1.42251,1.70984,0.373559,0.292919,0.0308431,0.17371,0.146748,0.141836,0.0842749,0.184539,0.104476,0.133572
L18_SEED_2_CONTROL,14,1,1.88892,1.45911,2.07374,0.259589,0.0820773,0.150238,0.0637515,0.75298,0.0429012,0.010878,1.78975,1.92964,0.302636,0.233898,0.0820773,0.150238,0.140202,0.117054,0.0954137,0.162044,0.114644,0.138326
L18_SEED_2_CONTROL,15,0,2.03047,1.94627,2.07472,0.173519,0.134821,0.112112,0.00809597,0.936648,0.00269843,0.00139536,2.00031,2.04337,0.198036,0.160448,0.134821,0.112112,0.146368,0.108043,0.136412,0.121849,0.123212,0.117182
L18_SEED_2_CONTROL,15,1,2.01095,1.91858,2.07808,0.176986,0.117805,0.139363,0.00623403,0.936648,0.00417134,0.000921185,2.02035,2.00296,0.178156,0.176299,0.117805,0.139363,0.127275,0.118096,0.12939,0.133467,0.117117,0.117488
L18_SEED_2_CONTROL,16,0,1.877,1.68156,2.07448,0.238715,0.0604424,0.158561,0.0248955,0.890401,0.0210533,0.00437684,1.82319,1.946,0.258843,0.214155,0.0604424,0.158561,0.131237,0.141258,0.092718,0.164662,0.117155,0.133967
L18_SEED_2_CONTROL,16,1,2.04299,1.97153,2.07793,0.168778,0.107991,0.123678,0.011117,0.890401,0.0022662,0.00138575,2.0178,2.05991,0.192848,0.150783,0.107991,0.123678,0.14556,0.11979,0.118246,0.134758,0.123434,0.126543
L18_SEED_2_CONTROL,17,0,1.98096,1.87079,2.07338,0.19547,0.103249,0.151067,0.0120199,0.563681,0.00582144,0.00140957,1.98556,1.97663,0.205408,0.18343,0.103249,0.151067,0.123682,0.124633,0.124753,0.134392,0.117008,0.121216
L18_SEED_2_CONTROL,17,1,1.49989,0.987468,1.96837,0.37873,0.221275,0.0492104,0.129027,0.563681,0.125713,0.0241425,1.36848,1.61358,0.47012,0.294584,0.221275,0.0492104,0.153007,0.0928076,0.163802,0.0693854,0.12798,0.122532
