configuration_id,src_tap,dst_tap,finite,fit_rank,cond,rel_residual_ls,rel_residual_orth,native_dev_tf_exact,transfer_dev_tf_exact,aligned_ls_dev_tf_exact,aligned_orth_dev_tf_exact,recovery_ls,recovery_orth,residual_loss_ls,residual_loss_orth,verdict
L19_SEED_4,b17_AFTER_FFN,b18_AFTER_ATTN,true,16,288175,0.00229395,0.0322484,93,92,87,92,0,0,5,0,INFORMATION_LOSS
L19_SEED_4,b18_AFTER_ATTN,b18_AFTER_FFN,true,16,352892,0.00131833,0.0387403,92,92,87,82,0,0,5,10,INFORMATION_LOSS
L18_SEED_2_CONTROL,EMBEDDING,b00_AFTER_ATTN,true,13,inf,0.043959,0.313143,135,133,53,135,0,0,80,-2,INFORMATION_LOSS
L18_SEED_2_CONTROL,b00_AFTER_ATTN,b00_AFTER_FFN,true,16,54349.3,0.0287447,0.6056,134,114,22,84,0,0,92,30,INFORMATION_LOSS
L18_SEED_2_CONTROL,b00_AFTER_FFN,b01_AFTER_ATTN,true,16,1.63882e+06,0.0133398,0.142351,133,108,36,115,0,0,72,-7,INFORMATION_LOSS
L18_SEED_2_CONTROL,b01_AFTER_ATTN,b01_AFTER_FFN,true,16,122956,0.010501,0.397531,137,117,82,91,0,0,35,26,INFORMATION_LOSS
L18_SEED_2_CONTROL,b01_AFTER_FFN,b02_AFTER_ATTN,true,16,353965,0.011442,0.0836117,116,110,116,116,0,0,-6,-6,MIXED
L18_SEED_2_CONTROL,b02_AFTER_ATTN,b02_AFTER_FFN,true,16,122870,0.0143473,0.331501,118,122,94,111,0,0,28,11,INFORMATION_LOSS
L18_SEED_2_CONTROL,b02_AFTER_FFN,b03_AFTER_ATTN,true,16,186221,0.00537205,0.0817464,117,104,114,121,0,0,-10,-17,MIXED
L18_SEED_2_CONTROL,b03_AFTER_ATTN,b03_AFTER_FFN,true,16,106909,0.00502411,0.271896,117,128,105,124,0,0.636364,23,4,INFORMATION_LOSS
L18_SEED_2_CONTROL,b03_AFTER_FFN,b04_AFTER_ATTN,true,16,260448,0.0048294,0.0620483,103,103,45,100,0,0,58,3,INFORMATION_LOSS
