configuration_id,tap_id,tap_name,kind,block,dim,selected_step,finite,train_tf_token_exact,cal_tf_token_exact,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_tf_mean_margin,dev_tf_margin_q10,dev_tf_top2,dev_tf_top3
L19_SEED_1,102,b15_NORM2,NORM2,15,16,50,true,28,88,89,2.38888888889,1.34432551367,0.102216649257,-4.15693537547,116,123
L19_SEED_1,103,b15_FFN_UPDATE,FFN_UPDATE,15,16,75,true,28,95,94,2.34027777778,1.28197525191,0.322004448306,-4.36414182194,103,127
L19_SEED_1,104,b15_AFTER_FFN,AFTER_FFN,15,16,50,true,28,94,97,2.06944444444,1.2100205744,0.322406706507,-3.44811840129,116,127
L19_SEED_1,105,b16_NORM1,NORM1,16,16,50,true,28,87,90,2.33333333333,1.32451950454,0.142958050433,-4.03014468222,115,124
L19_SEED_1,106,b16_CTX,CTX,16,16,25,true,25,30,33,8.56944444444,2.95350654818,-1.40425886585,-6.30926492659,64,76
L19_SEED_1,107,b16_ATT_UPDATE,ATT_UPDATE,16,16,25,true,19,31,26,9.35416666667,3.2278297393,-1.59064873866,-6.71689636538,52,56
L19_SEED_1,108,b16_AFTER_ATTN,AFTER_ATTN,16,16,50,true,28,94,94,2.31944444444,1.2781086362,0.227303093029,-3.7307052072,115,128
L19_SEED_1,109,b16_NORM2,NORM2,16,16,50,true,28,87,89,2.69444444444,1.3745675966,0.0562897694685,-4.20184554479,108,124
L19_SEED_1,110,b16_FFN_UPDATE,FFN_UPDATE,16,16,50,true,28,87,89,2.43055555556,1.26369036152,0.30486642195,-3.43042796306,113,128
L19_SEED_1,111,b16_AFTER_FFN,AFTER_FFN,16,16,50,true,28,94,95,2.17361111111,1.25855760559,0.235840983293,-3.62915431988,116,127
L19_SEED_1,112,b16_RELU,RELU,16,32,25,true,25,13,12,7.38194444444,3.02990151822,-2.17929990394,-7.03848407277,45,71
L19_SEED_1,113,b17_NORM1,NORM1,17,16,50,true,28,88,89,2.55555555556,1.36754810525,0.0696910501431,-4.12563136626,107,124
