"family_id","configuration_id","partition","step","token_exact","token_total","sequence_exact","sequence_total","autoregressive_nll","median_first_error_survival","lower_tail_margin_q10","all_finite"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","28","47","144","4","24","2.6757484970866185","1","-2.330020145326853","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","32","47","144","4","24","2.6532515922811259","1","-3.2572666009267173","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","36","39","144","3","24","2.6904960656681816","1","-3.7325842976570129","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","40","55","144","8","24","2.5465493283891774","1","-4.2021122492849825","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","48","74","144","12","24","2.3249755655813811","2","-5.7857942273219427","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","56","73","144","12","24","2.4916568400246262","2","-7.2309063871701555","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","64","70","144","12","24","2.7605422713414169","2","-8.7972516059875492","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","80","75","144","12","24","2.7977897963240808","4","-10.431915362675985","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","96","71","144","12","24","3.4214109449360333","2","-11.94549179871877","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","128","71","144","12","24","3.7979637998881981","2","-13.656171639760336","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","160","72","144","12","24","3.9977506153870519","2","-14.576960515975951","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","192","77","144","13","24","3.9788608963618426","5","-15.298583300908406","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","224","77","144","13","24","4.1186469496885589","5","-15.896495660146078","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","256","77","144","13","24","4.2387037796361158","5","-16.40817025502523","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","288","77","144","13","24","4.3447274546781767","5","-16.857812150319418","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","304","77","144","13","24","4.3935315581950185","5","-17.064484373728433","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","320","85","144","14","24","3.9833610993833934","5","-17.260453748703004","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","0","14","144","0","24","3.4736591171899112","1","-0.63669160753488541","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","4","25","144","0","24","3.3405952780416643","1","-0.76722614243626597","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","8","18","144","0","24","3.2428847455630869","1","-1.2559799984097482","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","12","31","144","0","24","3.1808243716251372","1","-1.954457046588262","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","16","23","144","0","24","3.195029350174261","1","-2.7903603076934815","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","20","35","144","4","24","3.0419539301745462","1","-2.669128108024597","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","24","33","144","3","24","2.8749300841384766","1","-2.2588481514093774","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","28","31","144","3","24","2.7976280247612477","1","-2.5497492363055545","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","32","49","144","6","24","2.6550991927362433","1","-3.2098789398868877","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","36","35","144","4","24","2.8684817238625984","1","-4.1651760838925842","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","40","53","144","7","24","2.6397958937199624","1","-5.0606722143789131","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","48","29","144","3","24","3.271353158686563","1","-6.5626715918382006","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","56","34","144","3","24","3.396573566750424","1","-7.8649593234062198","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","64","48","144","4","24","2.9733684705335879","1","-7.960836030294498","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","80","44","144","4","24","3.4331084001107013","1","-9.620813179016114","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","96","62","144","6","24","3.2154338071645205","1","-10.50138684908549","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","128","65","144","6","24","3.7628035489992482","1","-12.404734985033672","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","160","63","144","7","24","4.2650479746493026","1","-13.184173933664958","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","192","66","144","7","24","4.3037112888224449","1","-13.95225826104482","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","224","70","144","9","24","4.2825373362365315","1","-14.553706975777944","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","256","70","144","9","24","4.4946881893060198","1","-15.104225103060404","true"
"PAIRWISE_MARGIN_CE_V1","L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","288","64","144","9","24","4.9068144955703401","1","-15.508951115608216","true"
