configuration_id,layer,tap,condition,solver,init,lambda,converged,converged_flat,stalled,iterations,grad_norm,objective,train_ce,cal_ce,dev_ce,train_exact,cal_exact,dev_exact,selected_step,train_ce_2000,ce_coordinate
L19_SEED_1,13,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.556935912318,1.05327864385,1.07634381305,28,96,99,,,whitened
L19_SEED_1,13,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000147720699639,0.00743875623964,0.0014285171513,7.92508029095,7.73476567709,32,25,26,,,whitened
L19_SEED_1,13,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,144,3.60513785048e-08,0.00696188923285,0.00137732332643,7.84074119951,7.70662353096,32,23,26,,,whitened
L19_SEED_1,14,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.547372710752,1.1473770955,1.17408240027,28,94,98,50,0.0137606899177,z_score
L19_SEED_1,14,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.547372710752,1.1473770955,1.17408240027,28,94,98,,,whitened
L19_SEED_1,14,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000145767186262,0.00785362218629,0.00155464609159,7.76536559895,7.82296215881,32,25,31,,,whitened
L19_SEED_1,14,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,177,2.48394566506e-08,0.00737576578673,0.00150153508646,7.48409320318,7.5311602923,32,31,38,,,whitened
L19_SEED_1,15,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.547515624051,1.18718135712,1.2100205744,28,94,97,50,0.0131514614801,z_score
L19_SEED_1,15,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.547515624051,1.18718135712,1.2100205744,28,94,97,,,whitened
L19_SEED_1,15,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000151772620395,0.00806647838451,0.00164194300276,9.05219882048,10.8708182131,32,31,31,,,whitened
L19_SEED_1,15,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,197,1.82547179353e-08,0.00758474814842,0.00157726725432,8.73830265393,10.5182220294,32,31,31,,,whitened
L19_SEED_1,16,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.552614929587,1.2284731282,1.25855760559,28,94,95,50,0.0136893424498,z_score
L19_SEED_1,16,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.552614929587,1.2284731282,1.25855760559,28,94,95,,,whitened
L19_SEED_1,16,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000143512209171,0.00724497078678,0.00136534781226,8.38885595758,9.76569351241,32,30,36,,,whitened
L19_SEED_1,16,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,141,3.21943315181e-08,0.0067705812887,0.00132064329613,8.24587700293,9.62917328877,32,30,36,,,whitened
L19_SEED_1,17,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.558741746506,1.28387245801,1.34312578617,28,88,88,50,0.0140898707248,z_score
L19_SEED_1,17,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.558741746506,1.28387245801,1.34312578617,28,88,88,,,whitened
L19_SEED_1,17,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.00014275951006,0.0068003250661,0.00123066639192,7.82741532533,9.38387274454,32,37,42,,,whitened
L19_SEED_1,17,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,123,1.52234922106e-08,0.00632443745052,0.00119245549748,7.72241947799,9.28106625519,32,37,42,,,whitened
L19_SEED_1,18,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.558002315299,1.34633471062,1.42665693726,28,86,88,50,0.0137820277184,z_score
L19_SEED_1,18,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.558002315299,1.34633471062,1.42665693726,28,86,88,,,whitened
L19_SEED_1,18,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000141793955927,0.00685123055124,0.00123966973752,8.27773888562,8.80780259037,32,35,42,,,whitened
L19_SEED_1,18,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,126,2.61787485045e-08,0.00637857170473,0.00120243735895,8.1456227425,8.70072281726,32,42,49,,,whitened
L19_SEED_1,18,PRE_LN_FINAL,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.556058995022,1.34297818603,1.41987519106,28,86,88,50,0.0136452650614,z_score
L19_SEED_1,18,PRE_LN_FINAL,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.556058995022,1.34297818603,1.41987519106,28,86,88,,,whitened
L19_SEED_1,18,PRE_LN_FINAL,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000142613767192,0.00661592156601,0.00118061839812,7.65672583399,8.77998455755,32,36,44,,,whitened
L19_SEED_1,18,PRE_LN_FINAL,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,129,1.20496773872e-08,0.00613802336664,0.00114255338178,7.52133728138,8.61497725439,32,35,44,,,whitened
L19_SEED_1,18,POST_LN_FINAL,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.564606283688,1.38216366277,1.47144975962,28,88,90,50,0.0181665448567,z_score
L19_SEED_1,18,POST_LN_FINAL,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.564606283681,1.38216365962,1.47144975511,28,88,90,,,whitened
L19_SEED_1,18,POST_LN_FINAL,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000141812265871,0.00677713882873,0.0012203593375,8.41105173198,8.41081114962,32,32,40,,,whitened
L19_SEED_1,18,POST_LN_FINAL,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,125,1.64284487398e-08,0.00630220212,0.00118291676458,8.22210964528,8.21940338999,32,31,41,,,whitened
L19_SEED_2,-1,EMBEDDING,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.26840655769,0.103093851008,0.103093851008,28,144,144,2000,0.26840655769,z_score
L19_SEED_2,-1,EMBEDDING,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.26840655769,0.103093851008,0.103093851008,28,144,144,,,whitened
L19_SEED_2,-1,EMBEDDING,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000187995443722,0.274221167444,0.268993371937,0.103529732994,0.103529732994,28,144,144,,,whitened
L19_SEED_2,-1,EMBEDDING,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,778,2.2129686508e-07,0.273602089294,0.268900377884,0.103465649742,0.103465649742,28,144,144,,,whitened
L19_SEED_2,0,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.205594322963,0.202912855037,0.210853728206,29,139,138,225,0.0231705610796,z_score
L19_SEED_2,0,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.205594322963,0.202912855037,0.210853728206,29,139,138,,,whitened
L19_SEED_2,0,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.00015539330712,0.00590567163087,0.00101986749925,13.7319926678,15.7828447084,32,41,50,,,whitened
L19_SEED_2,0,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,107,1.53231124292e-08,0.00538673586277,0.000964079092221,13.5197281332,15.6089232684,32,41,50,,,whitened
L19_SEED_2,1,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.18242598367,0.265110678201,0.277141184256,31,126,124,225,0.0127403475592,z_score
