configuration_id,layer,tap,legacy_dev_exact,canonical_gd_dev_exact,canonical_lbfgs_dev_exact,canonical_minus_legacy_dev_exact,canonical_lbfgs_train_ce
L19_SEED_4,15,AFTER_ATTN,104,43,36,-68,0.00111768553513
L19_SEED_4,16,NORM1,112,59,57,-55,0.00114684755936
L19_SEED_4,16,AFTER_ATTN,101,37,37,-64,0.00120245660658
L19_SEED_4,17,NORM1,108,57,58,-50,0.00123232979845
L19_SEED_4,17,AFTER_ATTN,95,62,55,-40,0.00117600947119
L19_SEED_4,18,NORM1,100,59,59,-41,0.00125218811118
L19_SEED_4,18,AFTER_ATTN,93,47,47,-46,0.00114158618802
L18_SEED_2_CONTROL,10,NORM1,111,34,32,-79,0.00115338343342
L18_SEED_2_CONTROL,10,AFTER_ATTN,92,42,35,-57,0.00104469850406
L18_SEED_2_CONTROL,11,NORM1,110,42,41,-69,0.00121875393678
L18_SEED_2_CONTROL,11,AFTER_ATTN,92,45,45,-47,0.000992595071804
L18_SEED_2_CONTROL,12,NORM1,110,51,51,-59,0.00155778370204
L18_SEED_2_CONTROL,12,AFTER_ATTN,92,45,45,-47,0.000987099411699
L18_SEED_2_CONTROL,13,NORM1,95,66,66,-29,0.00131249654039
L18_SEED_2_CONTROL,13,AFTER_ATTN,89,56,48,-41,0.000981513812803
L18_SEED_2_CONTROL,14,NORM1,103,61,61,-42,0.00124671895176
L18_SEED_2_CONTROL,14,AFTER_ATTN,84,27,27,-57,0.00113148428768
L18_SEED_2_CONTROL,15,NORM1,92,62,62,-30,0.00126953665559
L18_SEED_2_CONTROL,15,AFTER_ATTN,80,38,38,-42,0.00118325747656
L18_SEED_2_CONTROL,16,NORM1,92,57,56,-36,0.00118774388137
L18_SEED_2_CONTROL,16,AFTER_ATTN,81,42,42,-39,0.00105648736163
L18_SEED_2_CONTROL,17,NORM1,92,64,64,-28,0.00122207291715
L18_SEED_2_CONTROL,17,AFTER_ATTN,78,59,58,-20,0.0010353832862
