configuration_id,checkpoint_step,rep,rep_name,selected_step,finite,nonfinite_step,nonfinite_what,train_ce,train_token_exact,cal_ce,cal_token_exact,max_logit_abs,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_fr_token_exact,dev_fr_sequence_exact,dev_fr_nll,dev_head_ctx_token_exact,dev_head_ctx_seq_exact,step2000_train_ce,step2000_train_token_exact
L19_SEED_4,320,12,L12_BLOCK_OUT,125,true,-1,,0.235890272404,30,0.586158738907,118,1.00674577781,112,1.27083333333,0.619760405556,46,6,3.73938793118,71,5,0.0067043549539,32
L19_SEED_4,320,13,L13_BLOCK_OUT,125,true,-1,,0.227774110757,30,0.657543474864,117,1.10762054116,110,1.32638888889,0.702577239928,50,6,3.69564045462,72,6,0.00664625015062,32
L19_SEED_4,320,14,L14_BLOCK_OUT,100,true,-1,,0.265041944156,30,0.728797115469,111,1.10011127554,103,1.45138888889,0.791908850245,50,6,3.44311640438,72,6,0.00632703888992,32
L19_SEED_4,320,15,L15_BLOCK_OUT,100,true,-1,,0.264884561632,30,0.76389346393,110,1.01084383149,102,1.48611111111,0.818988420188,48,6,3.53551238836,70,6,0.00623122813222,32
L19_SEED_4,320,16,L16_BLOCK_OUT,100,true,-1,,0.258633037185,30,0.806982453874,107,0.984923509402,102,1.52777777778,0.888623713602,48,6,3.54919430826,71,6,0.00616559372957,32
L19_SEED_4,320,17,L17_BLOCK_OUT,100,true,-1,,0.257826857552,30,0.88284708584,106,0.936168233633,100,1.5625,0.991272482209,48,6,3.70457491085,67,6,0.00599244459594,32
L19_SEED_4,320,18,L18_BLOCK_OUT,100,true,-1,,0.256636690117,30,0.961397441709,100,0.985108131321,94,1.86111111111,1.09724918436,36,2,4.13444306035,63,2,0.00575096829412,32
L19_SEED_4,320,19,L19_BLOCK_OUT,100,true,-1,,0.257824350264,30,1.00642255335,100,1.00552626791,92,1.875,1.15098631929,32,2,4.40553114443,61,2,0.00570026245269,32
L19_SEED_4,320,20,PRE_LN_FINAL,100,true,-1,,0.254343469459,30,1.00266475986,100,1.1045288322,93,1.86805555556,1.14236322842,33,2,4.28726348338,62,2,0.00572109967323,32
L19_SEED_4,320,21,POST_LN_FINAL,100,true,-1,,0.246341763808,30,0.994014972277,96,0.991313885207,95,1.79166666667,1.08566543227,45,6,3.95243222565,65,6,0.00587346932473,32
L18_SEED_2_CONTROL,4,0,L0_EMBEDDED,2000,true,-1,,0.268391851908,28,0.103079213348,144,2.0184657905,144,1,0.103079213348,144,24,0.103079213348,48,0,0.268391851908,28
L18_SEED_2_CONTROL,4,4,L4_BLOCK_OUT,100,true,-1,,0.247260287223,30,0.681009707524,119,1.03320504962,122,1.19444444444,0.527209830172,84,12,2.21175504301,43,0,0.00465767528125,32
L18_SEED_2_CONTROL,4,8,L8_BLOCK_OUT,100,true,-1,,0.302182846735,31,1.36883650441,93,1.01419882708,92,1.84722222222,1.12731807751,52,5,3.00742866691,35,0,0.00409718435591,32
L18_SEED_2_CONTROL,4,12,L12_BLOCK_OUT,75,true,-1,,0.384041113406,31,1.67552046512,74,0.812252786513,75,2.30555555556,1.43383354349,45,5,3.06578431046,30,0,0.00325760700342,32
L18_SEED_2_CONTROL,4,16,L16_BLOCK_OUT,50,true,-1,,0.659031747526,30,2.08472467641,59,0.589795933373,58,3.0625,1.88171314728,42,5,3.19893931129,26,0,0.00426075377686,32
L18_SEED_2_CONTROL,4,18,L18_BLOCK_OUT,50,true,-1,,0.731032940959,30,2.3027906099,61,0.569280719766,62,3.52083333333,2.08540574173,45,6,3.20806326115,28,0,0.00553133824647,32
L18_SEED_2_CONTROL,4,19,PRE_LN_FINAL,50,true,-1,,0.719910196025,30,2.25503430444,62,0.585198724945,58,3.18055555556,2.04368307444,42,6,3.2533052959,25,0,0.00541351992357,32
L18_SEED_2_CONTROL,4,20,POST_LN_FINAL,50,true,-1,,0.654911914724,32,2.44919508561,44,0.549027336685,40,4.11111111111,2.25317986887,25,0,3.53501239132,27,0,0.00930140925488,32
L18_SEED_2_CONTROL,160,0,L0_EMBEDDED,2000,true,-1,,0.268392428593,28,0.103086475027,144,1.95556203611,144,1,0.103086475027,144,24,0.103086475027,74,9,0.268392428593,28
L18_SEED_2_CONTROL,160,4,L4_BLOCK_OUT,175,true,-1,,0.192230842392,31,0.429786928773,122,1.41101504951,117,1.20138888889,0.447459129943,77,9,2.91697341061,63,5,0.00749964017793,32
L18_SEED_2_CONTROL,160,8,L8_BLOCK_OUT,125,true,-1,,0.248798070047,32,0.785048188441,91,1.30344085142,90,1.4375,0.723918042381,32,1,3.85644690167,52,1,0.00545249640083,32
L18_SEED_2_CONTROL,160,12,L12_BLOCK_OUT,100,true,-1,,0.291958662869,31,0.964174520938,93,1.15054013705,95,1.48611111111,0.831576252386,49,2,3.24876250642,55,2,0.00491986321857,32
L18_SEED_2_CONTROL,160,16,L16_BLOCK_OUT,75,true,-1,,0.412132226667,31,1.23377829426,79,0.934952304437,82,1.60416666667,0.997221502364,32,0,3.43057437687,48,0,0.00518722297499,32
L18_SEED_2_CONTROL,160,18,L18_BLOCK_OUT,50,true,-1,,0.612978122838,31,1.38683843788,77,0.604985162096,76,1.6875,1.14516942534,27,0,3.17693746545,47,0,0.00504926964138,32
L18_SEED_2_CONTROL,160,19,PRE_LN_FINAL,50,true,-1,,0.613136682363,31,1.37871802872,76,0.610356542122,78,1.6875,1.14523718495,29,0,3.16883781203,49,0,0.00502259422992,32
L18_SEED_2_CONTROL,160,20,POST_LN_FINAL,50,true,-1,,0.636888734981,30,1.39566519585,89,0.625233791767,91,1.59722222222,1.13931235601,50,4,2.9199981438,56,3,0.00623492393029,32
