"mode","case_id","step","max_abs_difference","mean_abs_difference","relative_l2_difference","argmax_match","top3_match"
"free","s2_p1","7","10.876122","2.752892557","0.4756799151","true","false"
"free","s2_p2","0","8.778866529","1.78949335","0.1749073941","true","true"
"free","s2_p2","1","7.049600005","1.992181042","0.1923704296","true","false"
"free","s2_p2","2","8.778866529","1.78949335","0.1749073941","true","true"
"free","s2_p2","3","7.049600005","1.992181042","0.1923704296","true","false"
"free","s2_p2","4","8.778866529","1.78949335","0.1749073941","true","true"
"free","s2_p2","5","7.049600005","1.992181042","0.1923704296","true","false"
"free","s2_p2","6","8.778866529","1.78949335","0.1749073941","true","true"
"free","s2_p2","7","7.049600005","1.992181042","0.1923704296","true","false"
"free","s2_p3","0","5.393975973","1.835880456","0.3481640028","true","true"
"free","s2_p3","1","6.015000105","2.02767916","0.5098285084","true","false"
"free","s2_p3","2","4.759937286","1.212099451","0.2137076356","true","false"
"free","s2_p3","3","5.393975973","1.835880456","0.3481640028","true","true"
"free","s2_p3","4","6.015000105","2.02767916","0.5098285084","true","false"
"free","s2_p3","5","4.759937286","1.212099451","0.2137076356","true","false"
"free","s2_p3","6","5.393975973","1.835880456","0.3481640028","true","true"
"free","s2_p3","7","6.015000105","2.02767916","0.5098285084","true","false"
"free","s3_p0","0","6.338687897","3.508721434","0.8717678408","true","false"
"free","s3_p0","1","5.08220005","1.535444623","0.2592813982","true","false"
"free","s3_p0","2","4.574103355","1.529779175","0.3643786548","true","false"
"free","s3_p0","3","4.921563148","1.236046679","0.3687448638","true","false"
"free","s3_p0","4","6.338687897","3.508721434","0.8717678408","true","false"
"free","s3_p0","5","5.08220005","1.535444623","0.2592813982","true","false"
"free","s3_p0","6","4.574103355","1.529779175","0.3643786548","true","false"
"free","s3_p0","7","4.921563148","1.236046679","0.3687448638","true","false"
"free","s3_p1","0","3.199111879","0.9959275194","0.3352412038","true","true"
"free","s3_p1","1","6.196527004","1.472588118","0.2824593341","true","true"
"free","s3_p1","2","3.758351326","1.210941926","0.1850626159","false","false"
"free","s3_p1","3","3.374180794","1.546151161","0.1907239155","true","true"
"free","s3_p1","4","3.199111879","0.9959275194","0.3352412038","true","true"
"free","s3_p1","5","6.196527004","1.472588118","0.2824593341","true","true"
"free","s3_p1","6","3.758351326","1.210941926","0.1850626159","false","false"
"free","s3_p1","7","3.374180794","1.546151161","0.1907239155","true","true"
